name,nominal,price,nkd,cost,coupon,rate,profitability
RosDorBank ob. 02,RUB:1000.0,99.51,RUB:81.0,RUB:1077.0,RUB:89.0,18.0,0.77
FSUE Rosmorport 001P-01,RUB:250.0,89.0,RUB:1.0,RUB:224.0,RUB:7.0,5.9,17.51
RUSNANO BO-002P-02,RUB:1000.0,102.0,RUB:8.0,RUB:1029.0,RUB:58.0,23.45,17.56
RUSNANO 08,RUB:1000.0,81.59,RUB:27.0,RUB:844.0,RUB:90.0,18.13,24.2
Rosneft  001P-01,RUB:1000.0,109.51,RUB:17.0,RUB:1112.0,RUB:17.0,7.0,7.3
Rosneft  001P-02,RUB:1000.0,99.08,RUB:31.0,RUB:1022.0,RUB:34.0,7.0,6.11
Rosneft  001P-03,RUB:1000.0,0.0,RUB:41.0,RUB:0.0,RUB:47.0,9.5,0.0
Rosneft  001P-04,RUB:1000.0,80.37,RUB:7.0,RUB:812.0,RUB:44.0,9.0,18.29
Rosneft  001P-05,RUB:1000.0,0.0,RUB:4.0,RUB:0.0,RUB:21.0,8.6,0.0
Rosneft  001P-06,RUB:1000.0,104.72,RUB:61.0,RUB:1108.0,RUB:84.0,17.0,11.42
Rosneft  001P-07,RUB:1000.0,104.36,RUB:61.0,RUB:1105.0,RUB:84.0,17.0,11.58
Rosneft  001P-08,RUB:1000.0,100.03,RUB:17.0,RUB:1018.0,RUB:59.0,12.0,10.14
Rosneft  002P-01,RUB:1000.0,101.21,RUB:34.0,RUB:1047.0,RUB:34.0,7.0,11.89
Rosneft 002P-10,RUB:1000.0,92.4,RUB:13.0,RUB:937.0,RUB:14.0,5.8,6.62
